Country, GDP Below 6.0, 6.0-7.5, 7.5-8.0, 8.5-9.5, GDP Growth Above 10
USA, 0.05, 0.15, 0.30, 0.25, 0.25
France, 0.10, 0.20, 0.25, 0.25, 0.20
India, 0.15, 0.35, 0.20, 0.15, 0.15
Japan, 0.08, 0.22, 0.30, 0.25, 0.15
Brazil, 0.10, 0.30, 0.30, 0.20, 0.10
Germany, 0.07, 0.18, 0.25, 0.30, 0.20
China, 0.06, 0.14, 0.30, 0.25, 0.25
Russia, 0.12, 0.28, 0.20, 0.20, 0.20
Canada, 0.09, 0.21, 0.25, 0.25, 0.20
Australia, 0.07, 0.23, 0.30, 0.20, 0.20
Italy, 0.11, 0.19, 0.25, 0.25, 0.20
Spain, 0.10, 0.20, 0.25, 0.25, 0.20
South Korea, 0.08, 0.22, 0.30, 0.25, 0.15
UK, 0.07, 0.18, 0.25, 0.30, 0.20
